y_real,y_pred
0,0.19723925
0,0.32683733
0,0.27410585
0,0.16205269
0,0.36529052
0,0.5836367
0,0.23161815
0,0.3749197
0,0.13493642
0,0.3166611
0,0.35224456
0,0.29626578
0,0.31416044
0,0.32176995
0,0.37413853
0,0.37636873
0,0.16868614
0,0.30278155
0,0.29998708
0,0.26845676
0,0.5245551
0,0.16561191
0,0.45673674
0,0.23727143
0,0.3969863
0,0.33145314
0,0.2711575
0,0.39836565
0,0.2914073
0,0.1874905
0,0.25683528
0,0.09714423
0,0.45394954
0,0.454822
0,0.3484169
0,0.45797536
0,0.31454423
0,0.36608997
0,0.36758205
0,0.35855278
0,0.30036813
0,0.18141572
0,0.323624
0,0.5308008
0,0.35258833
0,0.34686357
0,0.3372634
0,0.2820466
0,0.38397056
0,0.29010382
0,0.15127383
0,0.2281233
0,0.26793706
0,0.43900722
0,0.2677712
0,0.43003273
0,0.14129196
0,0.21674189
0,0.22116438
0,0.30955976
0,0.5191687
0,0.360441
0,0.42696127
0,0.44387382
0,0.13520753
0,0.40813294
0,0.27744165
0,0.29407957
0,0.23438942
0,0.27894238
0,0.31970182
0,0.16464317
0,0.4474288
0,0.27015677
0,0.13342306
0,0.13917261
0,0.22627534
0,0.4743442
0,0.16566809
0,0.14479019
0,0.30691963
0,0.18445939
0,0.21917523
0,0.24337742
0,0.5237124
0,0.2896112
0,0.1280568
0,0.3151396
0,0.23529871
0,0.23655358
0,0.31705663
0,0.1058637
0,0.30017078
0,0.17980473
0,0.45946643
0,0.4795959
0,0.58090574
0,0.37117058
0,0.2786375
0,0.23671372
0,0.21808667
0,0.61157244
0,0.15740764
0,0.29993394
0,0.22168578
0,0.34412798
0,0.53425527
0,0.14034511
0,0.14034511
0,0.54587793
0,0.3090398
0,0.48655882
0,0.20888583
0,0.21605022
0,0.30794594
0,0.5425956
0,0.22593518
0,0.47374776
0,0.23735513
0,0.3208412
0,0.27511784
0,0.49222392
0,0.38253665
0,0.28835356
0,0.22171035
0,0.56801987
0,0.23405808
0,0.36893547
0,0.2524806
0,0.35599998
0,0.43256256
0,0.419085
0,0.32336262
0,0.6067525
0,0.22574033
0,0.60815316
0,0.49945283
0,0.3014302
0,0.11961651
0,0.37442476
0,0.21397516
0,0.35144633
0,0.38023606
0,0.39071184
0,0.40157878
0,0.39860746
0,0.5797581
0,0.24094477
0,0.116596356
0,0.26999292
0,0.41170928
0,0.38231447
0,0.2559743
0,0.15555932
0,0.34538773
0,0.32053325
0,0.327107
1,0.3777036
0,0.31016415
0,0.29886463
0,0.35695943
0,0.2308412
0,0.38077718
0,0.091738366
0,0.18920599
0,0.31756064
0,0.4437991
0,0.17133825
0,0.37642515
0,0.31863
0,0.28382394
0,0.28377554
0,0.27328712
0,0.104025796
0,0.24726245
0,0.27929884
0,0.15936884
0,0.30337635
0,0.30784202
0,0.5197232
0,0.24399413
0,0.37410444
0,0.23400533
0,0.47733027
0,0.39140803
0,0.07293636
0,0.29680908
0,0.36537766
0,0.3287871
0,0.31899524
0,0.36436975
0,0.21319172
0,0.421027
0,0.2279803
0,0.47640783
0,0.13322979
0,0.39584604
0,0.25995725
0,0.4393151
0,0.40504333
0,0.5897561
1,0.38770884
0,0.35654405
0,0.21392213
1,0.4118782
0,0.47522593
0,0.4033672
0,0.11715699
0,0.2666458
0,0.28647867
0,0.41891906
0,0.46792
0,0.49371397
0,0.36081707
0,0.3346219
0,0.2161137
0,0.26497072
0,0.16335462
0,0.35222036
0,0.11600542
0,0.2987147
0,0.1393393
0,0.34830874
0,0.18193434
0,0.46863973
0,0.2139905
0,0.44556576
0,0.37086022
0,0.24189112
